,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,1746,2846,3430,3717,3901,3936,4074,4144,4190,4193,4230,4245,4253,4299,4257,4225,4288,4257,4279,4285,4298,4331,4260,4279,4315,4282,4305,4318,4310,4289,4308,4341,4322,4289,4287,4292,4323,4309,4314,4293,4288,4309,4321,4293,4314,4357,4297,4327,4300,4315,4316,4311,4322,4378,4344,4328,4291,4321,4325,4337,4307,4296,4305,4314,4317,4360,4283,4329,4329,4318,4306,4297,4347,4292,4285,4320,4306,4295,4314,4318,4343,4283,4310,4335,4336,4340,4331,4324,4348,4298,4312,4295,4328,4305,4343,4346,4344,4355,4326
1,1668,2877,3404,3714,3895,3982,4068,4150,4153,4177,4199,4186,4201,4231,4274,4225,4284,4304,4320,4320,4265,4284,4312,4295,4322,4282,4288,4310,4314,4310,4346,4329,4265,4306,4295,4300,4310,4326,4350,4347,4326,4317,4305,4310,4329,4305,4353,4311,4343,4327,4348,4291,4265,4332,4294,4331,4272,4287,4325,4317,4314,4300,4294,4319,4293,4308,4338,4323,4322,4318,4335,4333,4341,4341,4306,4283,4327,4361,4308,4299,4312,4305,4337,4320,4323,4347,4292,4291,4315,4304,4357,4296,4335,4317,4318,4301,4357,4283,4318
2,1751,2872,3428,3708,3887,4000,4084,4106,4170,4192,4205,4233,4252,4280,4310,4276,4306,4278,4327,4280,4272,4290,4285,4307,4289,4280,4294,4317,4314,4254,4292,4309,4324,4332,4270,4352,4291,4300,4313,4298,4302,4327,4307,4286,4276,4282,4351,4322,4302,4301,4316,4296,4322,4334,4315,4274,4347,4314,4291,4285,4315,4313,4319,4308,4379,4318,4324,4361,4292,4296,4329,4340,4270,4289,4291,4316,4327,4322,4320,4316,4324,4334,4325,4308,4313,4338,4317,4375,4313,4281,4318,4351,4339,4324,4287,4373,4312,4335,4349
3,1667,2897,3426,3697,3870,3990,4088,4120,4154,4207,4197,4248,4232,4254,4219,4264,4233,4306,4306,4304,4304,4279,4306,4295,4301,4306,4313,4320,4295,4333,4314,4293,4312,4303,4317,4319,4313,4316,4316,4266,4305,4306,4315,4305,4330,4327,4352,4334,4321,4278,4322,4318,4312,4335,4320,4333,4323,4350,4300,4311,4307,4322,4315,4336,4318,4312,4304,4309,4343,4298,4340,4328,4309,4311,4320,4321,4348,4355,4331,4314,4330,4280,4353,4322,4351,4369,4349,4291,4287,4298,4314,4336,4302,4320,4312,4305,4333,4322,4327
4,1731,2862,3431,3719,3903,4008,4073,4156,4129,4185,4214,4237,4266,4269,4259,4281,4235,4288,4274,4272,4300,4289,4276,4304,4298,4312,4269,4283,4295,4334,4310,4329,4304,4295,4347,4358,4290,4301,4309,4321,4285,4344,4328,4302,4328,4307,4306,4289,4305,4331,4296,4326,4338,4352,4306,4327,4291,4311,4330,4309,4347,4316,4311,4332,4345,4347,4329,4314,4312,4324,4357,4329,4373,4323,4346,4306,4315,4299,4302,4319,4317,4324,4311,4304,4331,4296,4339,4319,4329,4327,4349,4309,4331,4321,4291,4318,4324,4354,4305
5,1699,2889,3424,3730,3877,3980,4080,4129,4172,4176,4221,4244,4265,4261,4283,4278,4314,4312,4273,4308,4301,4277,4243,4291,4297,4268,4322,4313,4283,4310,4324,4327,4331,4313,4333,4274,4331,4343,4330,4292,4288,4298,4338,4349,4345,4315,4341,4311,4302,4286,4339,4340,4333,4347,4324,4287,4335,4312,4294,4318,4330,4317,4311,4330,4353,4307,4307,4335,4295,4336,4337,4293,4338,4311,4308,4290,4319,4269,4311,4307,4324,4321,4315,4340,4343,4332,4303,4327,4287,4350,4310,4312,4313,4364,4297,4311,4336,4352,4316
6,1775,2887,3461,3743,3889,3973,4097,4106,4119,4172,4213,4196,4219,4235,4283,4252,4287,4296,4244,4289,4302,4289,4276,4269,4312,4282,4293,4297,4311,4310,4284,4281,4299,4336,4305,4287,4309,4323,4319,4338,4270,4299,4333,4296,4306,4305,4321,4335,4322,4308,4324,4302,4295,4340,4306,4328,4330,4279,4310,4348,4307,4299,4309,4319,4325,4359,4280,4354,4320,4336,4296,4333,4305,4315,4324,4312,4323,4315,4333,4306,4330,4317,4308,4342,4315,4320,4321,4345,4339,4312,4318,4306,4323,4319,4327,4347,4321,4326,4315
7,1705,2881,3412,3697,3882,4013,4077,4151,4128,4143,4217,4227,4256,4228,4240,4285,4274,4279,4249,4269,4276,4303,4336,4298,4290,4285,4323,4316,4301,4293,4289,4329,4348,4318,4338,4273,4306,4313,4334,4323,4333,4315,4342,4314,4317,4297,4338,4288,4307,4371,4323,4337,4333,4305,4288,4350,4304,4311,4318,4294,4337,4314,4292,4322,4323,4333,4323,4334,4363,4327,4312,4308,4292,4313,4306,4324,4301,4324,4321,4339,4350,4315,4301,4291,4307,4323,4333,4335,4321,4346,4361,4324,4311,4317,4378,4320,4307,4298,4310
8,1775,2864,3434,3723,3878,4011,4068,4172,4133,4185,4217,4223,4253,4218,4274,4300,4278,4299,4270,4290,4261,4307,4311,4315,4324,4295,4327,4309,4305,4318,4314,4328,4323,4343,4298,4330,4315,4310,4361,4311,4293,4346,4288,4302,4313,4295,4363,4328,4338,4320,4327,4357,4314,4332,4355,4306,4345,4328,4308,4317,4348,4346,4331,4305,4311,4320,4322,4331,4327,4265,4345,4303,4325,4346,4314,4304,4323,4292,4339,4317,4281,4267,4323,4326,4309,4308,4291,4336,4331,4265,4305,4303,4339,4340,4335,4337,4308,4304,4337
9,1731,2851,3457,3703,3895,3975,4089,4119,4199,4172,4230,4223,4229,4252,4265,4247,4256,4242,4262,4282,4299,4279,4252,4317,4283,4330,4336,4311,4335,4244,4318,4310,4302,4294,4320,4337,4310,4320,4312,4307,4321,4350,4300,4304,4335,4349,4311,4310,4347,4311,4315,4336,4295,4329,4320,4293,4326,4352,4309,4302,4324,4340,4316,4287,4298,4322,4283,4356,4333,4331,4324,4327,4347,4338,4330,4343,4363,4326,4338,4338,4315,4333,4346,4358,4314,4327,4310,4349,4323,4331,4351,4322,4355,4304,4346,4343,4325,4339,4314
